WorkerId,age,gender,race
A2151NHZZD018M,35,M,black
A21GWSMKFQCFLC,38,M,asian
A21VJKREB3CBVH,46,M,white
A223BBAD3U6QFR,37,F,white
A22EONKWYRJTYP,24,F,asian
A22UTVPLLXJKLT,24,M,asian
A22X2KTR6Y8ZGJ,20,M,multi
A233KQOP9UND2P,33,F,white
A238KV0ZMJCJ6I,40,F,asian
A23J0BNIK7TB1N,36,F,hawaiian
A23OR0D1FCUVMM,64,M,white
A2461V1TFLCLTB,29,F,black
A249CE68FWLKQK,34,F,hispanic
A24IVERHCL36M8,33,F,white
A24XE3JSRCGLMD,36,F,black
A25BRCS2JF0P0A,29,F,white
A25GCMVNRFBG01,21,M,white
A25I2ZBEGDF0WS,32,F,black
A25M5RTEQ6ZNRG,27,M,asian
A25RMSY7UX6MWV,26,M,asian
A267SCN7MD0CRX,24,F,asian
A26A4HQXUN51VY,37,F,white
A26TXQC04T5AAS,28,F,white
A26YXLMZ98ABQO,26,M,asian
A277JAOM353NAV,21,M,white
A277KN9SYH1OLP,51,F,multi
A27ERO97G61M54,28,M,white
A27O7H19C0WQ7T,37,F,white
A27QGKZKM6AE8L,30,F,indian
A27SRSSZ8JXUHM,42,M,white
A2807HUMU6JG6Z,24,M,asian
A2852RLME6S2IX,26,F,hispanic
A28GR692FURDKO,39,M,asian
A28VRECAUOO7U9,68,F,white
A2911GRDDTKVUG,24,F,asian
A29SAH3AP7HTSS,60,M,white
A29T44BE3HIGH7,30,F,black
A2A2N3PDW4UYWM,43,F,white
A2A3HUY3YYKG2C,35,M,white
A2ADZEAP130MI2,58,F,white
A2AHE3I9FC9MK8,45,F,white
A2B4NOB02ERQCL,41,F,asian
A2B6OA4V8YABCZ,24,M,asian
A2B7KSSF87YRBG,30,M,asian
A2BB9SHJKRYRAM,29,M,multi
A2BJIR7XIO7CJR,23,M,white
A2BLQ1GVEHJR8T,65,F,white
A2BX8RJDS9GYZ1,41,F,white
A2C58H88W1NAO,31,F,white
A2C9TGV269GPDC,34,M,asian
A2CAFRYOTJIY5C,24,F,white
A2CISHIOILFDHN,32,F,multi
A2CN2V295GTNN9,32,NG,white
A2D0V7HDG9LVKP,26,M,white
A2DFXQ3QVQ9ELH,36,M,white
A2DHXLLSAHT3TF,40,M,white
A2DLH5XGBNYXWS,48,F,white
A2DPNKRTDSDF7X,29,M,white
A2DT1Y0XOGKPS5,28,M,asian
A2DVJ6OMVVYTC7,30,M,hispanic
A2DZ2Y7IWDFHIC,52,F,white
A2E8U8ZMA246U1,30,F,white
A2ECLO3CWAYFR5,29,M,white
A2ECVZRMEP8Z48,28,M,hispanic
A2EQVOOEAXG3MF,24,M,asian
A2FBJV1VAI9SQ6,29,F,white
A2FEF4UZVF9ZC5,26,F,white
A2FI5NYMCBZCQJ,29,F,white
A2FXCHFRZAKJY2,24,F,white
A2G0GEZRMR8V66,26,F,white
A2G7XPM051Q1XB,47,F,white
A2GD1F3YOMRO7Z,63,M,asian
A2GOYSTIL3LOV1,44,F,white
A2GP9WCP2ZMRLI,38,F,asian
A2GQF8D73PWOJI,45,F,black
A2GSLJEIPG3QD9,41,M,white
A2HJDLSU95MH8Q,61,F,white
A2HUTXBZ4YCVYT,28,F,asian
A2HV1MJAC4TG,39,M,white
A2HW091V0CAORX,44,M,white
A2I78BA4JY0A7F,39,F,white
A2I988BSR2YYU3,62,F,white
A2IKZUG69SPJXO,32,F,multi
A2IY0J2MOTEJJB,28,F,asian
A2J37FCRL0S479,35,F,indian
A2J5YJCFT6HX7M,21,F,hispanic
A2J65ZHAJQDKAC,55,F,black
A2J84AUK1GVTEA,33,F,white
A2J92I8PSCDFCC,54,F,white
A2J930MWXZWZNW,27,F,asian
A2JKM9ZTUWHVPF,24,M,black
A2JRXRT0EBP2IA,29,F,asian
A2JZ65LTUMRMNV,20,F,white
A2K9NNZQY3MGD3,59,F,white
A2KDGFZOTUVLKB,27,M,black
A2KRBV7BXB6EO3,29,F,white
A2KRPUB5FLF772,26,M,white
A2KYG17AZKIL3Y,57,M,white
A2L4PDTJOHV8IC,26,F,asian
A2LBH2X1DIWOD,55,F,white
A2LXH22NMQ1ECA,30,F,white
A2M0II20JK7R13,31,F,white
A2M47ONTL35B3A,61,F,white
A2MMRMD7GUALB1,39,F,white
A2MT0EBEHD9XGZ,26,M,asian
A2N9U74YIPDQ9F,52,F,white
A2NKW6JBEM4LL4,35,M,white
A2NPE9TTC2LZ4I,31,F,white
A2NWNC36JFEINZ,22,F,white
A2O3X8MPGRUTGP,18,M,white
A2O7HACW83WJK9,59,M,white
A2OBQ9KZ4GIHUG,32,M,white
A2OLM3IAEDU460,31,F,white
A2OME1K64OSP9K,67,F,white
A2OPV173ISAT0D,42,F,white
A2P5R40NOOZ4HJ,29,M,asian
A2P791EA88YGSV,33,F,asian
A2P7IU3JLL4VW2,24,M,asian
A2PG905Y8POB3C,34,M,asian
A2PW4RPTC8K2DD,26,F,asian
A2Q2RUVS9ST8MT,26,F,white
A2Q9ZYTR8B7EQQ,37,M,white
A2QORPF2QKQL6H,32,M,white
A2QU0ASAUX4S64,24,F,asian
A2QY32EZTEUMRU,26,M,asian
A2R5CRD8Z19E3X,24,F,asian
A2RI0A23GBPJSD,28,F,white
A2S4LCNVIA81G3,41,F,white
A2SFJC5XDHT748,24,M,white
A2SI93H28TVPLS,28,M,asian
A2SMIHP3I6PKL8,33,F,black
A2T33L23VT78DZ,28,M,asian
A2TKHXY755FAM,43,F,multi
A2TLQXGIO2LJ91,48,F,white
A2TV4MWIOBMNMS,36,F,white
A2TZAXWOB3JMNV,45,F,white
A2TZDN1NZBZ3V6,24,M,asian
A2U31V169A20GY,33,F,white
A2UES1POFN54DP,35,M,white
A2UF2FRGVW4T89,46,M,black
A2UIRQTM2V9F7V,37,M,white
A2UK6SLUS8P0H2,27,F,multi
A2UNVICZT8DKKD,28,M,asian
A2VEUYSAOYJJDC,33,F,white
A2VFQ8DS884HLX,28,M,asian
A2VX9QCUTQ2R04,37,M,asian
A2W31ZT24O8Y66,18,M,white
A2W8GMF7F98EYP,26,F,asian
A2WPCXF5IEGMFG,24,F,asian
A2X61ARPDQ7ZWX,24,M,white
A2X6M86NB41KSY,23,M,white
A2XU1TSQD45EB4,32,M,white
A2Y344XH3UDJ9B,68,F,white
A2Y6XCSXC16EZY,27,F,white
A2Y7D5EQ8QD8A3,29,F,white
A2Y7U5R8MVHTBE,30,M,white
A2YDQBA23C2D94,29,M,hispanic
A2YZHBU3XTPYWZ,27,M,asian
A2Z7WWYPGEHOJ2,37,F,white
A2ZPPP0XVV8C0W,23,M,other
A2ZPSPA0R8KSL8,41,M,white
A300YU98I2WEL4,32,M,white
A304S6RPVBSZRV,24,M,asian
A30571L03D0VDA,29,F,white
A30HBKEDOLTJ9K,35,F,asian
A30I1I65ASF6BQ,30,M,asian
A30NX5HEQGGFPP,57,M,asian
A315BL34XME4SS,24,M,asian
A317RA15E0SZ4P,37,M,asian
A31GW1DTYUZ9HD,31,F,white
A31JM9RECQGYEX,40,F,white
A31MIOD1NTW06H,29,F,white
A323N9NG19N65D,23,M,white
A331MFGLEMJB5T,29,F,asian
A338D4KCYBZPB7,35,F,black
A33X13G7FT2PL,22,F,white
A34MBAYKR8R12S,25,F,white
A34RG4ANCBZHV0,19,F,white
A34Z3DVUOHC61R,42,F,black
A35506802CMX5T,40,M,white
A35C0II2FFV18S,40,F,white
A35FKYZ7XFZEGH,36,M,black
A35OWV8U5NMY15,61,F,white
A35ROC8J91VOW0,22,F,white
A35Z81OG580PL8,24,M,asian
A35ZLOWKJIHL50,34,F,white
A360VG4DB0G8W9,41,F,white
A36E2C9QELIKK4,48,M,multi
A36VXS1NZ2GN2T,48,F,white
A36Z99NZBX8NQ4,31,F,white
A374VVZZ23SD2P,48,F,black
A376YLNVO87MLZ,54,F,white
A37U8NGF0FTPG4,53,F,white
A37V6FT1VS3KJ2,28,F,black
A37V7156T1VXI7,24,M,asian
A3830OJ9QDZDJW,24,M,white
A38MCQMAUI9DJL,46,M,asian
A38U1ICIUNLJF7,30,M,white
A38X9FNJOZ6LRX,26,M,hispanic
A394ZSXT3OW8YN,26,M,white
A3968UBASUK8GN,30,F,asian
A396GJRUM5SII,18,F,white
A39FP7MIGFILTM,26,M,asian
A39XLBFLSTLS,27,F,asian
A3A9BO7E5MGHRY,26,M,asian
A3AJAE98ONTPBK,24,F,asian
A3ANI0G1WKMSFF,27,F,asian
A3APKUC67F9IMW,33,M,white
A3AXM0EQW3DKCY,40,M,asian
A3AYBSE0KUKC2E,25,F,black
A3AYHESLQSDY5T,39,M,asian
A3AZWYP6HBVNRU,37,F,white
A3B5UFOTPU1TQJ,38,M,black
A3B657VTNQI72J,27,F,white
A3B8CHEB2ZS31K,37,M,white
A3BP2VGNU7IIEQ,37,F,white
A3BS1M91N9ZEAY,26,M,asian
A3BX9RF208DH05,23,F,asian
A3C08IKA80JZGM,26,M,asian
A3CA7SCTM4H9IO,40,F,white
A3CBOZUTFR0NR7,30,M,asian
A3CX5E8VX7BLG7,28,F,asian
A3CYV47MM7OA6M,44,F,white
A3DC2JOV2TLNGE,18,M,white
A3DF3331GOTRJP,35,M,white
A3DKLZQ9T353MH,43,F,white
A3DNFIQGSB5M5Q,30,F,white
A3DQXAOG1FU44O,27,M,white
A3DZEICLZNLJVK,42,F,white
A3E2L6KB2GSW4H,26,M,white
A3E9HBHOGOP9JK,28,F,asian
A3EF8GZ0SK81BS,28,M,white
A3ETQ1QZRGW4VF,18,F,white
A3F54NP0FKM8SG,55,F,black
A3FO3LK5SW82E2,24,F,asian
A3FVUGDP64A0FY,35,F,white
A3G39R2SKCALD8,27,F,asian
A3GSHGM25AGCHY,32,F,white
A3GTPW3MYSLMR7,41,F,white
A3GV2K564901E1,33,F,white
A3GZZOG8SFEGRE,20,M,white
A3H1UI1194X3TO,26,M,asian
A3HH7T31PFH49C,34,F,asian
A3HL2LL0LEPZT8,34,M,asian
A3HU9JOPC9UK8Q,32,F,white
A3I55L67X0MWC4,52,F,white
A3IC7ZQ257WUNV,47,M,white
A3IECR16UCYFMG,26,M,white
A3IH4TNZSWEZWG,27,M,white
A3IL3HGJW7K6Q1,29,F,asian
A3ILNJMBARBMU,49,M,white
A3IO1BV8SEZZV,27,M,asian
A3ITVF7URXG3KQ,29,M,multi
A3IXVW8BCITITE,26,M,asian
A3J0T6WAPEOM6O,26,M,asian
A3JRJQLXDCRW4O,48,F,asian
A3K2TA2KKPJ84W,28,M,white
A3K758SI907CG9,34,M,asian
A3KGUVIP8GLJG7,26,M,asian
A3KKFGTHJQ0KHA,34,F,hispanic
A3L8C3IF955Z65,35,F,white
A3LE1BIVORW3VR,25,M,white
A3MCIRTS6UGTSE,31,M,asian
A3MW1FSUZ4MMGE,65,F,white
A3OBGMVJMGC6HW,20,F,black
A3OK13TYU0OUUQ,32,M,asian
A3OQGGABOGJGM9,42,M,white
A3OQLGDE9IVNZE,47,F,multi
A3OVCT6HBAWIZP,28,M,asian
A3PIHDC8LXVQ4H,60,F,white
A3PQYI6YFMJLO6,25,M,white
A3PS8ATJWR0612,26,M,asian
A3QCZEK4MIE0IS,26,F,white
A3QFL2284F2P9R,39,M,multi
A3QHAAJF8046HA,26,M,asian
A3QK1O0GJ9DESS,23,M,white
A3R0V7F5LPVVAH,50,M,white
A3RN5GD583FY4K,38,M,white
A3S7SYBC9P6NQP,24,M,asian
A3SAO9EW6SVNPS,40,F,white
A3SBNJPZS7E2AX,63,M,asian
A3SD2HI2RDFFZW,41,M,white
A3T8F20W5KKY9Y,42,M,white
A3TER2X5M4L3W2,23,M,white
A3TK42KL2AR9LL,26,M,asian
A3TKUXUTDX6FBF,25,M,asian
A3TLULY74YH55R,20,F,white
A3TNDIDXR6LO7C,26,M,asian
A3UNY9FSBWUFRX,49,F,white
A3V8FN8YW3YHAV,27,F,white
A3V8LIMUUJWUTL,36,M,white
A3VGEX0JSA7Q1B,26,F,black
A3VP02KDUZIV0V,25,F,asian
A3X6N2OAY5XY8,48,M,black
A3Z9ACIWUI1C1,59,F,white
A49A0FF6ZXYDU,51,F,multi
A4GXHVTRGW5P8,24,F,white
A4LNBB5Z53KYY,19,M,white
A4TM9D1FUQZ68,20,M,white
A58LOH3VG3CBC,46,M,white
A59L67EZKMC3V,42,M,white
A5FUU339LEP25,28,F,white
A5N551A5UQ4G2,19,M,black
A5P5BCZ0IHGTT,40,F,white
A6KOTWP7N7RLU,36,M,white
A6SB0J53Z2Z1M,36,F,white
A7BPZCFTLJR3Y,19,F,white
A7H3Z4U3ZZFWI,28,M,asian
A83WD7KFT2VTF,22,F,white
A848991HB4D9V,24,M,asian
A8DQAXC9T2GQL,25,F,white
A8PJHNOLEDTZI,27,M,asian
A8PY49UUEBCVB,26,M,asian
A94K1346DCTJ1,24,M,asian
A9AKXVUGZNVTE,30,F,black
A9KPX8I7QZVF7,60,F,white
A9LDUI7MNK7CX,28,F,white
A9OU7Y9RJ120Q,35,F,black
AAC7WS46W01SP,25,F,white
AAHXDKZWXBWOA,53,F,white
AAW3TRPHKSB3B,56,F,white
AAW47EO3KEMAT,30,M,asian
AAXILKN9M4YW1,26,F,asian
AB48J3ZQSISB9,35,M,black
ABXI04K7467QI,37,M,black
ACR4KARO1LRP9,48,F,white
ACRPGQAXICOOT,24,M,asian
AD65B3PU7G64M,20,M,white
AD99N8AB266T7,37,M,black
AE3MX5R15ONP3,30,F,white
AE3Z2PJNQ72I0,34,M,white
AECQ7QG4CQP69,36,M,white
AECV4CDAFV445,38,F,white
AEEL6DE8FQSX6,25,M,white
AEH4MO41XBJ7U,31,M,multi
AEPAL7E8S3PEB,49,F,white
AEPCK9YXSTDX4,19,M,white
AFC9Q2YBBESIP,47,F,white
AFCRGIM00ZP6W,41,F,black
AFHBOPL1ZS6NA,21,F,white
AG9LWKO86TNHG,47,F,white
AGKIZUSFRFMYX,43,M,white
AGSLBIXQFSPUY,24,M,white
AGTIA5T9ET7AA,38,F,white
AGUNTAY7DKU3N,33,M,white
AGXW8DMN1NZ0H,24,M,asian
AH72AHERQS9QS,26,M,asian
AH9NHR1PJODG1,28,F,asian
AHEEMGVMGEMEQ,30,M,black
AHJMVCCEOY1FU,34,M,white
AHLS6AZ1VTNH7,29,M,asian
AHOTKNMJFS8TR,28,M,asian
AI6KURCLYS8ZF,25,M,white
AIOOOO5OXWXKM,29,M,white
AIT1599C1IXTK,32,F,asian
AIX0AZ8DN7CCJ,66,F,white
AJ1VMW9NT7287,32,M,white
AJ2BOHOPWZQNE,35,F,white
AJNVK078IDC2R,26,M,white
AJQ71YIGY01HZ,31,F,white
AJUI32V3AFBLE,37,F,black
AJY5G987IRT25,24,M,white
AK7LA9A6DVVGI,24,F,asian
AKB82TCYUECWD,30,M,black
AKLH2YXK5BAUP,24,M,asian
AKVDK30EEV08C,61,F,white
AKVDY8OXNMQED,67,M,white
AKXY2ATEM5DC2,42,M,asian
ALSAE9PQIVY8P,29,M,white
AMBSUCO4ODFV3,22,M,asian
AMKISPVXJDF9U,34,M,white
AMLORHHG3UOSA,22,F,black
ANHBO1RDUTW9O,39,F,white
ANN162CY5IAGN,43,M,asian
ANNFNS2BGCYNE,30,M,multi
ANUG05IDFTWF,44,F,asian
ANWP5LD1FBE3B,20,F,hispanic
ANZR2DCSMD0NX,50,M,white
AO1DQN0TQVS8H,23,F,white
AOB5RZ3WSAZPS,34,F,white
AOZSVQAQOEIIQ,35,F,white
AP8IMKOJ4H8UP,24,F,asian
APF1EAZT104LQ,27,M,white
APSX6ZF7HGSG2,24,M,asian
AQMR7KXKZ7V4Z,32,M,white
AQQHB2MWCFO8F,20,M,white
AQS3LUWLIDCH5,43,F,multi
AQUOS2XZESNXB,63,F,white
AQVWY2FTUQLLT,49,M,white
AQX05BSRW31BY,34,M,white
AR7V9FJK1DAZ8,25,M,white
ARB8SJAWXUWTD,26,M,asian
ARELXTAMVYQNK,33,M,white
ARO24O6F0DOXC,28,M,asian
ART2B51OIA2V3,22,M,hispanic
AS0RM98EFBCGT,27,F,asian
AS1KP4SMNONQC,36,F,white
AS2O3YDKSO8F6,24,M,asian
AS3V052W0L6XG,34,M,white
ASI6KXF2GAUTQ,24,F,white
ASL9DJYE4F92C,56,F,white
ASQ01UIU3XVYQ,24,F,asian
AT2DQ7AQ0D5DG,59,F,white
ATEWATSZJIDBW,24,F,asian
AU5UJIZ3TLI5M,39,F,white
AU6SRME5DNC67,32,M,indian
AUB2I82NRWV29,42,M,white
AULWZTHRW3VVN,29,M,white
AV82XILD9BG1E,41,M,white
AVW481IP6HTU2,47,M,white
AW1QY7Q83DYCJ,47,M,white
AW4TFXHZTDVI5,35,F,white
AWPLYU3VUP9RM,34,M,white
AWVJ2USKEKN1P,24,M,asian
AWYBIWKOTKURW,36,F,white
AX2VR7850ON7L,26,M,asian
AX7QB1F1M1IDO,35,F,white
AX9IOK8HCB8S4,36,F,white
AXO3OQJDHKRR3,51,F,white
AXWSQ8HC6SZOB,35,M,white
AXY0D2AMLKE2A,38,M,white
AYCEN3UEH5JKN,28,M,asian
AYJMDE3TY9KR4,26,F,asian
AYKDN0E8YXVY,56,M,white
AYPS0ZUUXZU47,35,F,white
AYQI8UYG2CKP,52,M,white
AZ1CPF2NHT5QO,24,F,asian
AZ1EV2AJM3340,26,M,asian
AZGOCZR5GZH09,19,F,white
AZOV5QBQK3B8L,34,M,black
AZPS2EKNR9TYP,20,F,white
