workerid|(2.0, 1.0, 1)|(2.0, 0.0, 1)|(1.0, 0.0, 1)|(2.0, 0.0, 0)|(1.0, 0.0, 0)|(1.0, 1.0, 1)|(3.0, 0.0, 0)|(1.0, 1.0, 0)|(2.0, 1.0, 0)|(3.0, 0.0, 1)|(4.0, 0.0, 1)|(3.0, 1.0, 0)|(4.0, 0.0, 0)|(3.0, 1.0, 1)|(5.0, 0.0, 0)|
38024095|--------------00----------------------|-----------------------1110110-----------------------------------------------------------------------------------|-----------------------------111000----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1111111011011111111--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110010------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------11------------------------------|-----------111--------------------------------------------------------|----1---------------------------|-----|----------|--|-|-|
26633604|--------------00----------------------|-----------------------1110111-----------------------------------------------------------------------------------|-----------------------------101011----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1111111111111111101--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1111110------------------------------------------------------------------------------------------------------------------|------11-------------------------------|----------1-------------------------------|-------00------------------------------|-----------101--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
90687863|--------------00----------------------|-----------------------0110010-----------------------------------------------------------------------------------|-----------------------------100000----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1111111011111111111--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110001------------------------------------------------------------------------------------------------------------------|------00-------------------------------|----------1-------------------------------|-------00------------------------------|-----------001--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
79757881|--------------00----------------------|-----------------------1111111-----------------------------------------------------------------------------------|-----------------------------101110----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1011111010011011111--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------0110010------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------11------------------------------|-----------010--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
28334011|--------------00----------------------|-----------------------1101010-----------------------------------------------------------------------------------|-----------------------------010111----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1111110011110101001--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110110------------------------------------------------------------------------------------------------------------------|------00-------------------------------|----------1-------------------------------|-------10------------------------------|-----------101--------------------------------------------------------|----1---------------------------|-----|----------|--|-|-|
44704976|--------------00----------------------|-----------------------0111110-----------------------------------------------------------------------------------|-----------------------------000000----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1011111011111011001--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110010------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------01------------------------------|-----------011--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
54734926|--------------00----------------------|-----------------------0111110-----------------------------------------------------------------------------------|-----------------------------100100----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1111010011011011001--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110000------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------10------------------------------|-----------000--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
57079706|--------------00----------------------|-----------------------1010110-----------------------------------------------------------------------------------|-----------------------------100010----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1011101011011111001--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110010------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------01------------------------------|-----------011--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
70710894|--------------00----------------------|-----------------------0111110-----------------------------------------------------------------------------------|-----------------------------110010----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1111111111111111101--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110010------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------11------------------------------|-----------111--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
91834904|--------------00----------------------|-----------------------1111110-----------------------------------------------------------------------------------|-----------------------------110100----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1011101111111111000--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110010------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------01------------------------------|-----------101--------------------------------------------------------|----1---------------------------|-----|----------|--|-|-|
47956029|--------------00----------------------|-----------------------0111110-----------------------------------------------------------------------------------|-----------------------------111000----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------0111101011011011011--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110110------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------01------------------------------|-----------100--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
98793090|--------------00----------------------|-----------------------0111011-----------------------------------------------------------------------------------|-----------------------------101010----------------------------------------------------------------------------------------------------------------|------------------------------------------------------------1111111011111011001--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------1110010------------------------------------------------------------------------------------------------------------------|------01-------------------------------|----------1-------------------------------|-------01------------------------------|-----------101--------------------------------------------------------|----0---------------------------|-----|----------|--|-|-|
98313098|----------------0011------------------|------------------------------000110-----------------------------------------------------------------------------|-----------------------------------0000010---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1100110011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0101111010010-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------100-----------------------------------------------------|-----001------------------------|-----|----------|--|-|-|
94554414|----------------0110------------------|------------------------------000010-----------------------------------------------------------------------------|-----------------------------------0000100---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1100110011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0101101110010-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------110-----------------------------------------------------|-----010------------------------|-----|----------|--|-|-|
72751980|----------------0110------------------|------------------------------111111-----------------------------------------------------------------------------|-----------------------------------1010100---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1100100010----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0110001010100-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------0-----------------------------|--------------100-----------------------------------------------------|-----000------------------------|-----|----------|--|-|-|
57035883|----------------1111------------------|------------------------------000001-----------------------------------------------------------------------------|-----------------------------------1011101---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------0110010101----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------1000001001100-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------11-----------------------------|---------1-----------------------------|--------------010-----------------------------------------------------|-----111------------------------|-----|----------|--|-|-|
