workerid|(2.0, 1.0, 1)|(2.0, 0.0, 1)|(1.0, 0.0, 1)|(2.0, 0.0, 0)|(1.0, 0.0, 0)|(1.0, 1.0, 1)|(3.0, 0.0, 0)|(1.0, 1.0, 0)|(2.0, 1.0, 0)|(3.0, 0.0, 1)|(4.0, 0.0, 1)|(3.0, 1.0, 0)|(4.0, 0.0, 0)|(3.0, 1.0, 1)|(5.0, 0.0, 0)|
88582665|0100010-------------------------------|110000-----------------------------------------------------------------------------------------------------------|1000-----------------------------------------------------------------------------------------------------------------------------------------------|00000110101011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0010000010----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|000---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
56723448|0100110-------------------------------|010011-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|11110110011011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0111010000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|100---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
25567563|1000110-------------------------------|010000-----------------------------------------------------------------------------------------------------------|1010-----------------------------------------------------------------------------------------------------------------------------------------------|00101110001110-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1110111000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|110---------------------------------------|0--------------------------------------|100-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
80393085|0100110-------------------------------|010010-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|11100110001011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1110111000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|111---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
71312801|1010011-------------------------------|110000-----------------------------------------------------------------------------------------------------------|1000-----------------------------------------------------------------------------------------------------------------------------------------------|11100110001001-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1110111010----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|110---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
93745399|0000010-------------------------------|010100-----------------------------------------------------------------------------------------------------------|1000-----------------------------------------------------------------------------------------------------------------------------------------------|11100110011011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0100011000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|110---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
43832508|1100110-------------------------------|110110-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|10101111001110-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0110111000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|110---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
10692426|1100110-------------------------------|000010-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|10100110001010-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0100011000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|100---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
35878886|0100110-------------------------------|110001-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|10110110011011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0111011000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|110---------------------------------------|0--------------------------------------|011-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
27215815|0000010-------------------------------|000110-----------------------------------------------------------------------------------------------------------|0100-----------------------------------------------------------------------------------------------------------------------------------------------|01000101000100-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0000001000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|100---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
13364356|1101100-------------------------------|010000-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|10100010001010-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0100011000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|100---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
91507835|1100110-------------------------------|111001-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|10110110001010-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1100011000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|110---------------------------------------|0--------------------------------------|010-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
13675681|1110010-------------------------------|110010-----------------------------------------------------------------------------------------------------------|1001-----------------------------------------------------------------------------------------------------------------------------------------------|10101110001011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0110111000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|111---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
10097324|0100110-------------------------------|000110-----------------------------------------------------------------------------------------------------------|1000-----------------------------------------------------------------------------------------------------------------------------------------------|00101111001110-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0000001000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|110---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
84870412|0100110-------------------------------|110010-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|00100111011010-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0100000000----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|111---------------------------------------|0--------------------------------------|000-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
89012727|0100110-------------------------------|111000-----------------------------------------------------------------------------------------------------------|1000-----------------------------------------------------------------------------------------------------------------------------------------------|11100110101011-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1000111010----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|100---------------------------------------|1--------------------------------------|111-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
97395120|0100110-------------------------------|110010-----------------------------------------------------------------------------------------------------------|0100-----------------------------------------------------------------------------------------------------------------------------------------------|00100110001010-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0100111000----------------------------------------------------------------------------------------------------------------------------------------------|0--------------------------------------|100---------------------------------------|0--------------------------------------|100-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
92987010|0101111-------------------------------|111011-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|11110111011111-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1011011100----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|111---------------------------------------|0--------------------------------------|110-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
56583732|1100110-------------------------------|101010-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|11100110100111-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|1000000010----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|100---------------------------------------|0--------------------------------------|100-------------------------------------------------------------------|0-------------------------------|-----|----------|--|-|-|
78654317|1000110-------------------------------|011001-----------------------------------------------------------------------------------------------------------|1100-----------------------------------------------------------------------------------------------------------------------------------------------|11101110001010-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|0110111101----------------------------------------------------------------------------------------------------------------------------------------------|1--------------------------------------|100---------------------------------------|0--------------------------------------|111-------------------------------------------------------------------|1-------------------------------|-----|----------|--|-|-|
90998455|-------1------------------------------|------111111000--------------------------------------------------------------------------------------------------|----0110100010-------------------------------------------------------------------------------------------------------------------------------------|--------------1001101111111110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-010-----------------------------------|---0------------------------------------------------------------------|--------------------------------|1----|----------|--|-|-|
96051876|-------1------------------------------|------011101000--------------------------------------------------------------------------------------------------|----1110100010-------------------------------------------------------------------------------------------------------------------------------------|--------------0001011110010101---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101000----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-001-----------------------------------|---1------------------------------------------------------------------|--------------------------------|1----|----------|--|-|-|
13936965|-------1------------------------------|------111100000--------------------------------------------------------------------------------------------------|----0110000010-------------------------------------------------------------------------------------------------------------------------------------|--------------0001001110100100---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101000----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
81885784|-------1------------------------------|------111101000--------------------------------------------------------------------------------------------------|----1110000010-------------------------------------------------------------------------------------------------------------------------------------|--------------0000001100111110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101000----------------------------------------------------------------------------------------------------------------------------------------|-10------------------------------------|---1--------------------------------------|-001-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
78924328|-------1------------------------------|------111101010--------------------------------------------------------------------------------------------------|----1111110010-------------------------------------------------------------------------------------------------------------------------------------|--------------1001001111101110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101000----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
32389632|-------1------------------------------|------111101010--------------------------------------------------------------------------------------------------|----1110111010-------------------------------------------------------------------------------------------------------------------------------------|--------------1001001110110110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|1----|----------|--|-|-|
77148691|-------1------------------------------|------111100000--------------------------------------------------------------------------------------------------|----1110110010-------------------------------------------------------------------------------------------------------------------------------------|--------------1001001110100110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101000----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|1----|----------|--|-|-|
69904848|-------1------------------------------|------110100000--------------------------------------------------------------------------------------------------|----1110000011-------------------------------------------------------------------------------------------------------------------------------------|--------------0001000110101100---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------100010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|1----|----------|--|-|-|
78344814|-------1------------------------------|------111100000--------------------------------------------------------------------------------------------------|----0110100010-------------------------------------------------------------------------------------------------------------------------------------|--------------1101010110000110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------100011----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---1------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
77836254|-------1------------------------------|------111101000--------------------------------------------------------------------------------------------------|----1110111010-------------------------------------------------------------------------------------------------------------------------------------|--------------1011101110101110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101000----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
73782224|-------1------------------------------|------111101000--------------------------------------------------------------------------------------------------|----1110111010-------------------------------------------------------------------------------------------------------------------------------------|--------------1101011110111010---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101000----------------------------------------------------------------------------------------------------------------------------------------|-01------------------------------------|---1--------------------------------------|-001-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
39923921|-------1------------------------------|------111101000--------------------------------------------------------------------------------------------------|----1110010010-------------------------------------------------------------------------------------------------------------------------------------|--------------1001001110100110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101000----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
29564313|-------1------------------------------|------111100100--------------------------------------------------------------------------------------------------|----1110111010-------------------------------------------------------------------------------------------------------------------------------------|--------------1011001111110110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|1----|----------|--|-|-|
59726281|-------1------------------------------|------111100000--------------------------------------------------------------------------------------------------|----0110010010-------------------------------------------------------------------------------------------------------------------------------------|--------------0001001110110010---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------100010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
53725856|-------1------------------------------|------111101010--------------------------------------------------------------------------------------------------|----1110101010-------------------------------------------------------------------------------------------------------------------------------------|--------------1001001111110110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101010----------------------------------------------------------------------------------------------------------------------------------------|-10------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
70582900|-------0------------------------------|------110110000--------------------------------------------------------------------------------------------------|----0100000000-------------------------------------------------------------------------------------------------------------------------------------|--------------0000000100000000---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------100010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
43606726|-------1------------------------------|------111101010--------------------------------------------------------------------------------------------------|----0111111011-------------------------------------------------------------------------------------------------------------------------------------|--------------0001100110110010---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------100110----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-101-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
54708280|-------1------------------------------|------111101000--------------------------------------------------------------------------------------------------|----1110011010-------------------------------------------------------------------------------------------------------------------------------------|--------------1001001110100110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
37906234|-------1------------------------------|------111100000--------------------------------------------------------------------------------------------------|----1110000010-------------------------------------------------------------------------------------------------------------------------------------|--------------1001001111100110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-001-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
27569200|-------0------------------------------|------110100000--------------------------------------------------------------------------------------------------|----0110100000-------------------------------------------------------------------------------------------------------------------------------------|--------------0101001110111110---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------101010----------------------------------------------------------------------------------------------------------------------------------------|-00------------------------------------|---1--------------------------------------|-000-----------------------------------|---0------------------------------------------------------------------|--------------------------------|0----|----------|--|-|-|
62252138|--------00----------------------------|---------------01110---------------------------------------------------------------------------------------------|--------------1011100111---------------------------------------------------------------------------------------------------------------------------|------------------------------10111110110----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------00100011--------------------------------------------------------------------------------------------------------------------------------|---0-----------------------------------|----1101----------------------------------|----0----------------------------------|----01101-------------------------------------------------------------|-0------------------------------|-----|1---------|1-|-|-|
70633120|--------10----------------------------|---------------01010---------------------------------------------------------------------------------------------|--------------1001001111---------------------------------------------------------------------------------------------------------------------------|------------------------------01111001101----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------00111011--------------------------------------------------------------------------------------------------------------------------------|---0-----------------------------------|----1011----------------------------------|----0----------------------------------|----01101-------------------------------------------------------------|-0------------------------------|-----|1---------|0-|-|-|
61554712|--------00----------------------------|---------------01010---------------------------------------------------------------------------------------------|--------------0001101101---------------------------------------------------------------------------------------------------------------------------|------------------------------01100101101----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------00000000--------------------------------------------------------------------------------------------------------------------------------|---0-----------------------------------|----1001----------------------------------|----1----------------------------------|----01010-------------------------------------------------------------|-0------------------------------|-----|1---------|1-|-|-|
25275045|--------10----------------------------|---------------01110---------------------------------------------------------------------------------------------|--------------0001101111---------------------------------------------------------------------------------------------------------------------------|------------------------------11100101101----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------00110011--------------------------------------------------------------------------------------------------------------------------------|---0-----------------------------------|----1001----------------------------------|----0----------------------------------|----01111-------------------------------------------------------------|-0------------------------------|-----|0---------|0-|-|-|
